title,release_year,genre,director,cast,runtime,budget,revenue,ratings_imdb,verdict
Storm Rising,2000,"Fantasy, Mystery",Anurag Kashyap,"Ranbir Kapoor, Varun Dhawan, Akshay Kumar",101,236.0,741.44,9.0,2
Night Rising,2000,"Thriller, Romance",Sanjay Leela Bhansali,"Aamir Khan, Ayushmann Khurrana, Hrithik Roshan",112,283.98,479.09,6.0,1
Revenge Returns,2000,"Comedy, Mystery",Imtiaz Ali,"Aamir Khan, Ayushmann Khurrana, Shah Rukh Khan",159,160.37,255.89,6.8,1
Love Affair,2000,"Drama, Romance",Rajkumar Hirani,"Rajkummar Rao, Varun Dhawan, Ayushmann Khurrana",110,239.53,249.32,5.2,1
Love Unleashed,2000,"Action, Adventure",Anurag Kashyap,"Aamir Khan, Shah Rukh Khan, Hrithik Roshan",131,222.82,771.22,9.2,2
Love Diaries,2000,"Drama, Action",Farhan Akhtar,"Kartik Aaryan, Shah Rukh Khan, Akshay Kumar",166,242.44,331.04,4.8,1
War Chronicles,2000,"Mystery, Mystery",S. S. Rajamouli,"Ranbir Kapoor, Salman Khan, Sidharth Malhotra",139,283.37,756.8,6.2,2
Dream Diaries,2000,"Action, Thriller",Rajkumar Hirani,"Shah Rukh Khan, Sidharth Malhotra, Salman Khan",119,68.08,81.77,7.6,1
Love Rising,2000,"Crime, Adventure",Zoya Akhtar,"Aamir Khan, Hrithik Roshan, Ranbir Kapoor",117,294.64,147.58,6.0,0
Storm Diaries,2000,"Comedy, Adventure",Rajkumar Hirani,"Ranbir Kapoor, Varun Dhawan, Salman Khan",151,138.61,355.13,8.1,2
Night Affair,2000,"Fantasy, Thriller",Sanjay Leela Bhansali,"Salman Khan, Varun Dhawan, Shah Rukh Khan",118,298.06,938.54,9.4,2
Dream Returns,2000,"Romance, Action",S. S. Rajamouli,"Aamir Khan, Shah Rukh Khan, Salman Khan",151,104.32,180.88,4.3,1
Storm Unleashed,2000,"Romance, Thriller",Rajkumar Hirani,"Ranbir Kapoor, Vicky Kaushal, Salman Khan",136,109.22,56.78,7.1,0
King Awakens,2000,"Crime, Crime",Imtiaz Ali,"Akshay Kumar, Varun Dhawan, Ayushmann Khurrana",116,254.3,291.54,6.6,1
Storm Chronicles,2000,"Mystery, Horror",Ayan Mukerji,"Ranbir Kapoor, Sidharth Malhotra, Ranveer Singh",97,173.58,530.07,8.4,2
King Code,2000,"Action, Adventure",Imtiaz Ali,"Kartik Aaryan, Vicky Kaushal, Ranveer Singh",120,68.58,115.79,9.0,1
Night Affair,2000,"Thriller, Romance",Kabir Khan,"Akshay Kumar, Salman Khan, Aamir Khan",121,291.06,808.18,5.6,2
King Returns,2000,"Romance, Crime",Karan Johar,"Shah Rukh Khan, Sidharth Malhotra, Varun Dhawan",127,55.23,161.58,8.3,2
War Chronicles,2000,"Adventure, Fantasy",Karan Johar,"Varun Dhawan, Ranveer Singh, Hrithik Roshan",169,16.98,48.63,4.2,2
King Awakens,2000,"Mystery, Mystery",Karan Johar,"Ranbir Kapoor, Varun Dhawan, Hrithik Roshan",99,218.9,677.7,6.2,2
Heart Rising,2000,"Horror, Adventure",S. S. Rajamouli,"Ranbir Kapoor, Sidharth Malhotra, Akshay Kumar",125,88.5,139.28,4.2,1
Shadow Rising,2000,"Mystery, Drama",Imtiaz Ali,"Varun Dhawan, Ayushmann Khurrana, Ranbir Kapoor",135,179.14,171.59,4.8,0
Hope Saga,2000,"Crime, Crime",Imtiaz Ali,"Rajkummar Rao, Ranbir Kapoor, Hrithik Roshan",160,192.56,409.68,7.2,2
Revenge Returns,2000,"Crime, Horror",Imtiaz Ali,"Rajkummar Rao, Ranveer Singh, Shah Rukh Khan",163,93.63,96.27,8.0,1
Heart Returns,2000,"Fantasy, Adventure",Rohit Shetty,"Akshay Kumar, Ayushmann Khurrana, Kartik Aaryan",164,90.11,199.62,4.7,2
Revenge Unleashed,2000,"Romance, Fantasy",Anurag Kashyap,"Hrithik Roshan, Shah Rukh Khan, Aamir Khan",176,277.32,253.03,4.7,0
War Returns,2000,"Thriller, Drama",Farhan Akhtar,"Vicky Kaushal, Sidharth Malhotra, Rajkummar Rao",128,276.66,649.15,7.8,2
Shadow Affair,2000,"Adventure, Crime",Rohit Shetty,"Rajkummar Rao, Vicky Kaushal, Kartik Aaryan",128,163.0,112.17,6.1,0
Storm Unleashed,2000,"Action, Mystery",Zoya Akhtar,"Vicky Kaushal, Salman Khan, Sidharth Malhotra",153,96.67,305.31,4.6,2
Revenge Affair,2000,"Drama, Drama",S. S. Rajamouli,"Varun Dhawan, Akshay Kumar, Aamir Khan",132,229.26,399.17,4.0,1
Hope Affair,2000,"Action, Action",Zoya Akhtar,"Varun Dhawan, Kartik Aaryan, Vicky Kaushal",138,64.26,131.16,5.8,2
Shadow Affair,2000,"Romance, Horror",Ayan Mukerji,"Tiger Shroff, Ranbir Kapoor, Aamir Khan",135,92.88,241.85,7.2,2
Storm Chronicles,2000,"Action, Action",S. S. Rajamouli,"Shah Rukh Khan, Ranveer Singh, Ranbir Kapoor",106,78.84,64.44,6.6,0
Storm Rising,2000,"Thriller, Crime",Karan Johar,"Ayushmann Khurrana, Ranbir Kapoor, Akshay Kumar",92,299.26,895.17,5.6,2
King Returns,2000,"Mystery, Comedy",Farhan Akhtar,"Aamir Khan, Kartik Aaryan, Vicky Kaushal",106,49.25,57.02,9.3,1
Heart Forever,2000,"Comedy, Mystery",Rajkumar Hirani,"Sidharth Malhotra, Rajkummar Rao, Kartik Aaryan",144,194.09,343.43,7.8,1
Revenge Code,2000,"Crime, Thriller",Kabir Khan,"Vicky Kaushal, Varun Dhawan, Kartik Aaryan",163,33.36,81.67,5.0,2
Heart Awakens,2000,"Action, Thriller",S. S. Rajamouli,"Vicky Kaushal, Shah Rukh Khan, Ranbir Kapoor",160,253.64,755.21,9.1,2
Hope Rising,2000,"Horror, Action",Sanjay Leela Bhansali,"Ranbir Kapoor, Ranveer Singh, Ayushmann Khurrana",92,146.63,459.73,8.1,2
Love Code,2000,"Horror, Comedy",Rajkumar Hirani,"Shah Rukh Khan, Ranveer Singh, Salman Khan",167,262.98,161.32,8.0,0
Dream Chronicles,2000,"Action, Fantasy",Anurag Kashyap,"Salman Khan, Varun Dhawan, Rajkummar Rao",157,98.4,285.51,7.7,2
Hope Saga,2000,"Thriller, Horror",Anurag Kashyap,"Akshay Kumar, Ayushmann Khurrana, Salman Khan",147,154.27,181.91,5.6,1
Storm Chronicles,2000,"Fantasy, Drama",Karan Johar,"Rajkummar Rao, Vicky Kaushal, Kartik Aaryan",127,131.64,251.49,5.0,1
Love Saga,2000,"Mystery, Action",Anurag Kashyap,"Rajkummar Rao, Tiger Shroff, Hrithik Roshan",151,234.09,273.19,8.0,1
Revenge Saga,2000,"Crime, Mystery",Farhan Akhtar,"Tiger Shroff, Rajkummar Rao, Shah Rukh Khan",155,237.49,813.52,7.0,2
Hope Rising,2000,"Adventure, Drama",Ayan Mukerji,"Salman Khan, Ranveer Singh, Aamir Khan",138,291.43,183.06,6.4,0
War Returns,2000,"Adventure, Fantasy",Rohit Shetty,"Tiger Shroff, Hrithik Roshan, Aamir Khan",161,83.81,206.6,8.7,2
Night Code,2000,"Mystery, Romance",Rajkumar Hirani,"Akshay Kumar, Salman Khan, Shah Rukh Khan",109,125.46,167.8,6.9,1
Hope Code,2000,"Thriller, Thriller",Kabir Khan,"Sidharth Malhotra, Rajkummar Rao, Kartik Aaryan",137,90.84,275.88,8.4,2
